Heat pump ID	Yearly heating load (W)	Winter heating load (W)	Daily heating load (W)	Year COP	Winter COP	Hour COP	dT HP Heating	Yearly cooling demand (W)	Summer cooling load (W)	Daily cooling load (W)	EER	dt HP Cooling
1	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
2	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
3	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
4	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
5	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
6	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
7	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
8	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
9	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
10	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
11	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
12	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
13	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
14	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4
15	2282	3651	10000	3.3	3.4	3	3	342	1369	4000	25	4
