Heat_pump_ID	Yearly_heating_load_(W)	Winter_heating_load_(W)	Daily_heating_load_(W)	Year_COP	Winter_COP	Hour_COP	dT_HP_Heating	Yearly_cooling_load_(W)	Summer_cooling_load_(W)	Daily_cooling_load_(W)	EER	dT_HP_Cooling
1	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
2	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
3	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
4	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
5	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
6	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
7	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
8	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
9	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
10	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
11	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
12	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
13	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
14	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
15	757	1483	3900	3.6	3.7	3.1	3	23	92	2800	10	4
