Heat pump ID	Yearly heating load (W)	Winter heating load (W)	Daily heating load (W)	Year COP	Winter COP	Hour COP	dT HP Heating	Yearly cooling demand (W)	Summer cooling load (W)	Daily cooling load (W)	EER	dt HP Cooling
1	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
2	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
3	274	438	2340	4	3.7	3.3	3	14	55	1680	5	4
4	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
5	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
6	274	438	2340	4	3.7	3.3	3	14	55	1680	5	4
7	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
8	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
9	274	438	2340	4	3.7	3.3	3	14	55	1680	5	4
10	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
11	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
12	274	438	2340	4	3.7	3.3	3	14	55	1680	5	4
13	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
14	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
15	274	438	2340	4	3.7	3.3	3	14	55	1680	5	4
16	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
17	548	876	4680	4	3.7	3.3	3	28	110	3360	5	4
18	274	438	2340	4	3.7	3.3	3	14	55	1680	5	4
