Heat pump ID	Yearly heating load (W)	Winter heating load (W)	Daily heating load (W)	Year COP	Winter COP	Hour COP	dT HP Heating	Yearly cooling demand (W)	Summer cooling load (W)	Daily cooling load (W)	EER	dt HP Cooling
1	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
2	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
3	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
4	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
5	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
6	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
7	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
8	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
9	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
10	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
11	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
12	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
13	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
14	630	1826	6000	3.3	3.4	3	3	0	0	0	0	0
15	1770	3651	10000	3.3	3.4	3	3	0	0	0	0	0
