Heat_pump_ID	Yearly_heating_load_(W)	Winter_heating_load_(W)	Daily_heating_load_(W)	Year_COP	Winter_COP	Hour_COP	dT_HP_Heating	Yearly_cooling_load_(W)	Summer_cooling_load_(W)	Daily_cooling_load_(W)	EER	dT_HP_Cooling
1	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
2	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
3	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
4	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
5	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
6	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
7	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
8	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
9	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
10	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
11	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
12	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
13	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
14	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0
15	2282	3651	10000	3.3	3.4	3	3	0	0	0	0	0
