Heat_pump_ID	Yearly_heating_load_(W)	Winter_heating_load_(W)	Daily_heating_load_(W)	Year_COP	Winter_COP	Hour_COP	dT_HP_Heating	Yearly_cooling_load_(W)	Summer_cooling_load_(W)	Daily_cooling_load_(W)	EER	dT_HP_Cooling	at_junction_no
1	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	5
2	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	6
3	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	7
4	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	8
5	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	9
6	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	10
7	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	11
8	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	12
9	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	13
10	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	14
11	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	15
12	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	16
13	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	17
14	1141	1826	6000	3.3	3.4	3	3	342	1369	4000	25	4	18
15	2282	3651	10000	3.3	3.4	3	3	342	1369	4000	25	4	19
