Heat_pump_ID	Yearly_heating_load_(W)	Winter_heating_load_(W)	Daily_heating_load_(W)	Year_COP	Winter_COP	Hour_COP	dT_HP_Heating	Yearly_cooling_load_(W)	Summer_cooling_load_(W)	Daily_cooling_load_(W)	EER	dT_HP_Cooling	at_junction_no
1	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	5
2	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	6
3	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	7
4	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	8
5	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	9
6	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	10
7	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	11
8	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	12
9	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	13
10	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	14
11	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	15
12	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	16
13	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	17
14	1141	1826	6000	3.3	3.4	3	3	0	0	0	0	0	18
15	2282	3651	10000	3.3	3.4	3	3	0	0	0	0	0	19
