from_junction	to_junction	length(m)	outer_diameter(mm)	SDR	roughness(mm)
0	1	40.	110.	17	0.0001
1	2	63.	90.	17	0.0001
1	3	58.	75.	17	0.0001
2	4	63.	63.	17	0.0001
2	9	20.	40.	17	0.0001
2	10	20.	40.	17	0.0001
2	11	20.	40.	17	0.0001
2	12	20.	40.	17	0.0001
2	13	20.	40.	17	0.0001
2	14	20.	40.	17	0.0001
3	15	20.	40.	17	0.0001
3	16	20.	40.	17	0.0001
3	17	20.	40.	17	0.0001
3	18	20.	40.	17	0.0001
3	19	20.	50.	17	0.0001
4	5	20.	40.	17	0.0001
4	6	20.	40.	17	0.0001
4	7	20.	40.	17	0.0001
4	8	20.	40.	17	0.0001
