Adresse_/_Strækning	Rørdiameter_[mm]	SDR_[-]	Tracélængde_[m]	Antal_tracé	Brine_volumenstrøm_spidslast_varme_[m3/s]	Brine_volumenstrøm_spidslast_køling_[m3/s]
Bartholinstræde_15	40	10.81081081	58.30	1	0.000247748	0.00001
kryds_strækning_2_(1.10)	110	11	3.50	1	0.00295045	0.00001
Bartholinstræde_24B	110	11	24.90	1	0.003513514	0.00001
Bartholinstræde_24A	110	11	1.50	1	0.003975225	0.00001
Bartholinstræde_9B	110	11	18.90	1	0.004481982	0.00001
Bartholinstræde_22	110	11	3.90	1	0.005022523	0.00001
Bartholinstræde_9A	160	10.95890411	7.60	1	0.005405405	0.00001
Bartholinstræde_7	160	10.95890411	0.20	1	0.005957207	0.00001
Bartholinstræde_20	160	10.95890411	16.40	1	0.006509009	0.00001
kryds_strækning_7_(1.7)	160	10.95890411	38.60	1	0.010123874	0.00001
Pilenborgvej_6	160	10.95890411	22.70	1	0.010867117	0.00001
Pilenborgvej_4B	160	10.95890411	5.10	1	0.011306306	0.00001
kryds_strækning_9_(1.11)	160	10.95890411	16.00	1	0.013502252	0.00001
Pilenborgvej_4A	160	10.95890411	43.30	1	0.013941441	0.00001
kryds_strækning_10_(1.4)	225	10.97560976	15.00	1	0.026418919	0.00001
Pilenborgvej_2	225	10.97560976	9.10	1	0.027083333	0.00001
Ole_Rømers_Vej_43A	225	10.97560976	15.10	1	0.027882883	0.00001
Ole_Rømers_Vej_40	225	10.97560976	0.04	1	0.028096847	0.00001
Ole_Rømers_Vej_38	225	10.97560976	16.00	1	0.02829955	0.00001
Ole_Rømers_Vej_43B	225	10.97560976	1.50	1	0.028637387	0.00001
Ole_Rømers_Vej_36	225	10.97560976	34.50	1	0.028952703	0.00001
Ole_Rømers_Vej_34	225	10.97560976	21.60	1	0.02972973	0.00001
kryds_strækning_3_(1.12)	280	11.02362205	22.30	1	0.058400901	0.00001
Porsemosevej_1	280	11.02362205	2.20	1	0.058806306	0.00001
Ole_Rømers_Vej_41	280	11.02362205	24.20	1	0.059954955	0.00001
Porsemosevej_3	280	11.02362205	27.90	1	0.060709459	0.00001
Porsemosevej_5	280	11.02362205	5.6	1	0.06106982	0.00001
Strækning_1.1	280	11.02362205	60	1	0.06106982	0.00001
Strækning_0	355	11.02484472	65	1	0.06106982	0.00001
Bartholinstræde_11	90	10.97560976	0	1	0.001306306	0.00001
Bartholinstræde_9D	90	10.97560976	6.3	1	0.001722973	0.00001
Bartholinstræde_9C	90	10.97560976	31.9	1	0.002240991	0.00001
Bartholinstræde_13	90	10.97560976	9.9	1	0.002972973	0.00001
Vartovvej_7	50	10.86956522	0	1	0.000473125	0.00001
Vartovvej_5	63	10.86206897	15	1	0.000943665	0.00001
Vartovvej_3	75	11.02941176	73	1	0.001293512	0.00001
Ole_Rømers_Vej_23	90	10.97560976	15	1	0.002047215	0.00001
Ole_Rømers_Vej_24	90	10.97560976	9.6	1	0.002839429	0.00001
Ole_Rømers_Vej_27	110	11	5.3	1	0.003150963	0.00001
Ole_Rømers_Vej_25	110	11	20.1	1	0.003613578	0.00001
kryds_strækning_8_(1.15)	160	10.95890411	9.3	1	0.007220587	0.00001
Ole_Rømers_Vej_26	160	10.95890411	15.6	1	0.007946783	0.00001
Ole_Rømers_Vej_29_2	160	10.95890411	0.5	1	0.008786417	0.00001
Ole_Rømers_Vej_28	160	10.95890411	12.3	1	0.009622642	0.00001
Ole_Rømers_Vej_31	160	10.95890411	22.7	1	0.010165935	0.00001
Ole_Rømers_Vej_33	160	10.95890411	13.4	1	0.01087154	0.00001
kryds_strækning_4_(1.18)	225	10.97560976	10.4	1	0.025814567	0.00001
Ole_Rømers_Vej_30	225	10.97560976	16.3	1	0.02617068	0.00001
kryds_strækning_11_(1.24)	225	10.97560976	14.6	1	0.027627876	0.00001
Ole_Rømers_Vej_32	225	10.97560976	36.9	1	0.02802861	0.00001
Ole_Rømers_Vej_34B	225	10.97560976	1.4	1	0.028672371	0.00001
Skovkildevej_21	63	10.86206897	25.09881913	1	0.000530945	0.00001
Skovkildevej_19	75	10.86206897	16.76959161	1	0.000953655	0.00001
kryds_strækning_5_(1.21)	90	10.97560976	16.23649071	1	0.001974637	0.00001
Skovkildevej_15	90	10.97560976	32.23219337	1	0.002275095	0.00001
kryds_strækning_6_(1.22)	160	10.95890411	21.7592759	1	0.008804043	0.00001
Skovkildevej_12	160	10.95890411	22.02494494	1	0.009219744	0.00001
Skovkildevej_10	160	10.95890411	38.65672948	1	0.009588777	0.00001
Skovkildevej_8	160	10.95890411	3.807921681	1	0.010085293	0.00001
Skovkildevej_9	160	10.95890411	16.43416228	1	0.010665629	0.00001
Skovkildevej_7	160	10.95890411	4.401867935	1	0.011118372	0.00001
Skovkildevej_6	160	10.95890411	13.44466686	1	0.011879805	0.00001
Skovkildevej_5	160	10.95890411	14.0985508	1	0.012418982	0.00001
Skovkildevej_4	160	10.95890411	4.646930211	1	0.012842914	0.00001
Skovkildevej_3	160	10.95890411	16.42711483	1	0.013460292	0.00001
Skovkildevej_1	160	10.95890411	0.423841108	1	0.013794582	0.00001
Skovkildevej_2	160	10.95890411	36.20300092	1	0.014251441	0.00001
Ole_Rømers_Vej_35	200	10.98901099	7.126316909	1	0.014943027	0.00001
Skovkildevej_11	63	10.86206897	0	1	0.000518148	0.00001
Skovkildevej_13	63	10.86206897	0	1	0.000671135	0.00001
Skovkildevej_17	75	10.86206897	34.25969772	1	0.001020982	0.00001
Skovkildevej_29_2	75	10.86206897	0	1	0.001333669	0.00001
Skovkildevej_29_1	90	10.97560976	155.6592688	1	0.002683391	0.00001
Skovkildevej_20	110	11	6.274025771	1	0.003176553	0.00001
Skovkildevej_27	110	11	16.75594596	1	0.003555211	0.00001
Skovkildevej_18	110	11	16.18549036	1	0.004513507	0.00001
Skovkildevej_25	110	11	17.44318801	1	0.004992655	0.00001
Skovkildevej_16	160	10.95890411	7.253629862	1	0.005247623	0.00001
Skovkildevej_23	160	10.95890411	12.22358102	1	0.005881464	0.00001
Skovkildevej_14	160	10.95890411	8.725024224	1	0.006528949	0.00001
Bartholinstræde_12	50	10.86956522	10.16274716	1	0.000498455	0.00001
Bartholinstræde_3B	75	10.86206897	13.66149394	1	0.001098264	0.00001
Bartholinstræde_14	90	10.97560976	12.95438207	1	0.001674483	0.00001
Bartholinstræde_5	90	10.97560976	0.655384159	1	0.002328705	0.00001
Bartholinstræde_16	110	11	18.14709404	1	0.003095058	0.00001
Bartholinstræde_18	110	11	35.27256362	1	0.003621887	0.00001
Bartholinstræde_3A	63	10.86206897	3.49685238	1	0.000625663	0.00001
Bartholinstræde_10	75	10.86206897	24.83385412	1	0.001424725	0.00001
Bartholinstræde_8	90	10.97560976	28.70071248	1	0.001869774	0.00001
Bartholinstræde_6	90	10.97560976	10.857471	1	0.002369773	0.00001
Bartholinstræde_4	90	10.97560976	11.26489241	1	0.002872678	0.00001
Bartholinstræde_2	110	11	8.4328932	1	0.003607009	0.00001
Pilenborgvej_7	50	10.86956522	7.351979153	1	0.000449549	0.00001
Pilenborgvej_3B	63	10.86206897	8.176890756	1	0.000714593	0.00001
Pilenborgvej_9	75	10.86206897	19.91343026	1	0.001268142	0.00001
Pilenborgvej_3	90	10.97560976	10.12516872	1	0.001754194	0.00001
Pilenborgvej_11	90	10.97560976	10.14755199	1	0.002188538	0.00001
Kroppedals_Alle_1_1	63	10.86206897	0	1	0.000903617	0.00001
Kroppedals_Alle_1_2	90	10.97560976	129.8970668	1	0.002983027	0.00001
Ole_Rømers_Vej_64	110	11	66.24445426	1	0.003751286	0.00001
Ole_Rømers_Vej_60	110	11	0.462946002	1	0.004537414	0.00001
Ole_Rømers_Vej_62	110	11	24.1644985	1	0.005113633	0.00001
Ole_Rømers_Vej_58	160	10.95890411	3.265392512	1	0.006002657	0.00001
Ole_Rømers_Vej_56	160	10.95890411	22.20860204	1	0.006411148	0.00001
Ole_Rømers_Vej_54	160	10.95890411	18.18878805	1	0.006880355	0.00001
Ole_Rømers_Vej_52	160	10.95890411	20.254444	1	0.007660363	0.00001
Ole_Rømers_Vej_50	160	10.95890411	13.11858694	1	0.008043137	0.00001
Ole_Rømers_Vej_48	160	10.95890411	16.40818659	1	0.00851646	0.00001
Ole_Rømers_Vej_46	160	10.95890411	3.937710891	1	0.008948625	0.00001
Ole_Rømers_Vej_44	160	10.95890411	213.0706694	1	0.009372558	0.00001
Ole_Rømers_Vej_47	160	10.95890411	2.648885557	1	0.009617335	0.00001
Pilenborgvej_5	160	10.95890411	6.296671541	1	0.010067191	0.00001
Ole_Rømers_Vej_49	160	10.95890411	19.84383606	1	0.010540316	0.00001
Ole_Rømers_Vej_45	160	10.95890411	5.159734651	1	0.01184405	0.00001
Ole_Rømers_Vej_42	160	10.95890411	17.22956443	1	0.012467119	0.00001
Ole_Rømers_Vej_39	50	10.86956522	4.014634706	1	0.000384211	0.00001
Ole_Rømers_Vej_37B	63	10.86206897	35.25383585	1	0.000727331	0.00001
Ole_Rømers_Vej_37A	75	10.86206897	31.08968512	1	0.001457196	0.00001






















































































































