Heat pump ID	Yearly heating load (W)	Winter heating load (W)	Daily heating load (W)	Year COP	Winter COP	Hour COP	dT HP Heating	Yearly cooling demand (W)	Summer cooling load (W)	Daily cooling load (W)	EER	dt HP Cooling
1	540	864	6000	3.3	3.4	3	3	0	1369	5600	25	4
2	1409	2254	6000	3.3	3.4	3	3	0	1369	5600	25	4
3	2386	3817	10000	3.3	3.4	3	3	0	1369	5600	25	4
4	3022	4836	10000	3.3	3.4	3	3	0	1369	5600	25	4
5	2155	3448	6000	3.3	3.4	3	3	0	1369	5600	25	4
6	2155	3448	6000	3.3	3.4	3	3	0	1369	5600	25	4
7	2091	3345	6000	3.3	3.4	3	3	0	1369	5600	25	4
8	2300	3681	10000	3.3	3.4	3	3	0	1369	5600	25	4
9	2807	4490	10000	3.3	3.4	3	3	0	1369	5600	25	4
10	949	1519	6000	3.3	3.4	3	3	0	1369	5600	25	4
11	4047	6475	10000	3.3	3.4	3	3	0	1369	5600	25	4
12	1071	1714	6000	3.3	3.4	3	3	0	1369	5600	25	4
13	2277	3643	10000	3.3	3.4	3	3	0	1369	5600	25	4
14	2523	4036	10000	3.3	3.4	3	3	0	1369	5600	25	4
15	2500	4000	10000	3.3	3.4	3	3	0	1369	5600	25	4
16	1577	2523	6000	3.3	3.4	3	3	0	1369	5600	25	4
17	3426	5481	10000	3.3	3.4	3	3	0	1369	5600	25	4
18	2485	3976	10000	3.3	3.4	3	3	0	1369	5600	25	4
19	1089	1742	6000	3.3	3.4	3	3	0	1369	5600	25	4
20	1845	2951	6000	3.3	3.4	3	3	0	1369	5600	25	4
21	2784	4454	10000	3.3	3.4	3	3	0	1369	5600	25	4
22	1605	2568	6000	3.3	3.4	3	3	0	1369	5600	25	4
23	1720	2753	6000	3.3	3.4	3	3	0	1369	5600	25	4
24	1531	2449	6000	3.3	3.4	3	3	0	1369	5600	25	4
25	2240	3584	10000	3.3	3.4	3	3	0	1369	5600	25	4
26	1008	1613	6000	3.3	3.4	3	3	0	1369	5600	25	4
27	2662	4259	10000	3.3	3.4	3	3	0	1369	5600	25	4
28	3043	4868	10000	3.3	3.4	3	3	0	1369	5600	25	4
29	3834	6134	10000	3.3	3.4	3	3	0	1369	5600	25	4
30	1884	3014	6000	3.3	3.4	3	3	0	1369	5600	25	4
31	2095	3351	6000	3.3	3.4	3	3	0	1369	5600	25	4
32	3069	4910	10000	3.3	3.4	3	3	0	1369	5600	25	4
33	1940	3104	6000	3.3	3.4	3	3	0	1369	5600	25	4
34	2023	3237	6000	3.3	3.4	3	3	0	1369	5600	25	4
35	2008	3213	6000	3.3	3.4	3	3	0	1369	5600	25	4
36	1439	2302	6000	3.3	3.4	3	3	0	1369	5600	25	4
