Section	SDR	Length_(m)	#of_pipes	#HP_ID_vector
Avej_1	17	163	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,35,36,23,24,25,26,27
Avej_2	17	160	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,35,36
Avej_3	17	77	1	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Fvej	17	216	1	35,36
Bvej	17	204	1	18,19,20,21,22
Cvej	17	310	1	23,24,25,26,27
Evej	17	194	1	29,30,31,32,33,34
Dvej	17	30	1	28
Stikledninger_6_kW	17	20	20	1,2,5,6,7,10,12,16,19,20,22,23,24,26,30,31,33,34,35,36
Stikledninger_10_kW	17	20	16	3,4,8,9,11,13,14,15,17,18,21,25,27,28,29,32
